Food Category,Specific Foods (Winter),Nutrients Provided,Benefits for Pregnancy,Trimester Focus,Recommended Preparations,Foods to Avoid / Limit,Risks of Overconsumption
Cereals & Grains,"Millet (bajra, ragi, foxtail, little millet, kodo, barnyard), whole wheat, oats, barley","Iron, fiber, protein, calcium","Prevents anemia, supports bone health, maintains energy",2nd & 3rd trimester,"Millet roti, porridge, khichdi","Refined flour products (maida, white bread)","Blood sugar spikes, low nutrition"
Fruits,"Oranges, sweet lime, apple, guava, gooseberry, ripe papaya, kiwi, pomegranate","Vitamin C, antioxidants, folate","Boosts immunity, helps iron absorption, prevents constipation",All trimesters,"Fruit salad, fresh juices (no added sugar), smoothies","Unpasteurized juices, excess citrus","Stomach acidity, diarrhea"
Vegetables,"Spinach, fenugreek leaves, mustard greens, amaranth, carrots, beets, peas, yam, sweet potato, broccoli, drumsticks","Iron, calcium, potassium, fiber, vitamins A, C, K, folate","Prevents neural tube defects, supports digestion, boosts immunity",1st & 2nd trimester,"Steamed, stir-fried, soups, curries","Raw sprouts, undercooked vegetables","Risk of bacterial infection, gas"
Milk & Dairy,"Cow milk, paneer, curd, ghee (moderate), turmeric milk, saffron milk","Calcium, protein, vitamin D, probiotics","Strengthens bones, supports baby’s skeletal growth, improves gut health",All trimesters,"Warm turmeric milk, curd with fruits, paneer curry","Excess cheese, cream, cold milk","Indigestion, mucus formation"
Nuts & Seeds,"Walnuts, almonds, chia seeds, flax seeds, pumpkin seeds, sunflower seeds, dry figs, raisins, dates","Omega-3, iron, magnesium, healthy fats","Supports brain & eye development, prevents anemia, relieves constipation",2nd & 3rd trimester,"Nut mixes, ladoos, seed powders in milk","Salted or roasted nuts in excess","High sodium, weight gain"
Fats & Oils,"Cold-pressed mustard oil, sesame oil, olive oil, ghee (small amount)","Healthy fats, vitamin E, vitamin K","Aids vitamin absorption, supports baby’s brain development",2nd trimester onwards,"Cooking base oils, sesame ladoos","Reused or refined oils","Harmful trans fats"
Fluids & Soups,"Herbal teas (ginger, ajwain, tulsi), vegetable soups, warm water","Hydration, antioxidants, electrolytes","Maintains amniotic fluid, prevents constipation, boosts immunity",All trimesters,"Tomato-beet soup, spinach soup, ginger tea","Excess tea/coffee, cold drinks, soda","Blocks iron absorption, acidity"
Proteins,"Lentils, beans, chickpeas, soy products, eggs (if consumed), chicken/fish (if allowed)","Protein, iron, B vitamins","Supports fetal growth, prevents maternal weakness",2nd & 3rd trimester,"Dal, cooked sprouts, egg curry","Undercooked meats, raw eggs","Risk of salmonella, food poisoning"
Winter Superfoods,"Amla, jaggery, sesame seeds, methi ladoos, gondh (edible gum), turmeric","Vitamin C, iron, calcium, warming nutrients","Boosts immunity, prevents cold & flu, strengthens uterus",3rd trimester,"Gondh ladoos, til chikki","Excess jaggery sweets","Gestational diabetes risk"
Foods to Avoid,"Fried foods, bakery sweets, sugary drinks, packaged foods, excess caffeine, alcohol","Empty calories, trans fats, excess sugar","Causes excessive weight gain, heartburn, gestational diabetes",All trimesters,"—","Fried samosa, pakoras, soft drinks, sugary hot chocolate","Acidity, low immunity, pregnancy complications"
Herbal Remedies & Teas,"Ginger, tulsi, cinnamon, ajwain, fennel, black pepper","Antioxidants, warming compounds, digestive aids","Reduces cold, nausea, boosts immunity, aids digestion",1st & 2nd trimester,"Ginger tea, tulsi decoction, warm fennel water","Excess tea, strong decoctions","Heartburn, acidity"
Winter Snacks,"Roasted chana, makhana, peanut laddoos, sesame ladoos","Protein, fiber, healthy fats, minerals","Provides satiety, energy, prevents constipation",2nd & 3rd trimester,"Roasted, lightly spiced, sugar-free","Fried snacks, packaged namkeens","Weight gain, acidity"
Ayurvedic Foods,"Ghee-based ladoos, gondh, milk with saffron, spiced khichdi","Healthy fats, vitamins, minerals, warming foods","Strengthens uterus, boosts immunity, improves digestion",2nd & 3rd trimester,"Warm ladoos, milk with saffron, spiced khichdi","Excess ghee or sugar","Weight gain, high cholesterol"
Immunity Boosters,"Garlic, honey (in moderation), black pepper, ginger, amla","Antioxidants, antimicrobial properties","Boosts immunity, prevents infections",All trimesters,"Add in cooking, warm water with honey & ginger","Raw garlic in excess, unprocessed honey","Stomach upset, acidity"
Spices for Warming & Digestion,"Cinnamon, cardamom, turmeric, black pepper, cumin","Antioxidants, digestive and anti-inflammatory compounds","Improves digestion, keeps body warm, reduces bloating",1st & 2nd trimester,"Add to milk, tea, porridges, curries","Excessive use in raw form","Heartburn, nausea"
